Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
grouped,5MSHZ0,"LIT-18626-04-10, LIT-18616-01-33",MODEL INFO,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y015MSHZ00.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,LIT-18626-04-10,,OWNERS MANUAL,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,-,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ00.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,LIT-18616-01-33,,SERVICE MANUAL,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,-,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ00.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
grouped,5MSHZ1,"6E0-42542-00-00, 90170-16M35-00, 6E0-24181-00-00, 6E0-24500-10-00, 6E0-24610-02-00, 6E0-24591-10-00, 95895-06020-00, 6E0-24312-00-00, 6E0-24311-00-00, 6J1-24524-00-00, 90386-12069-00, 6E0-24335-00-00, 90445-09057-00, 646-24251-02-00, 6E3-24182-00-00, 6E0-42816-00-00, 6E0-42711-10-4D, 6E0-42815-00-4D, 6E0-82550-01-00, 97885-06030-00, 90464-09M21-00, 6E3-24641-00-00, 90465-08M62-00, 6G1-24304-02-00, 90159-04M24-00, 6E0-24110-01-4D, 90467-08004-00, 95380-06700-00, 90465-13M11-00, 90445-09M27-00, 90206-12052-00, 90480-14M14-00, 95895-06025-00",BOTTOM COWLING,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6E0-42711-10-4D,,"COWLING, BOTTOM",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6E0-42815-00-4D,,"LEVER, CLAMP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1740.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,90386-12069-00,,BUSH,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1387.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6E0-42816-00-00,,"LEVER, CLAMP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1200.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,90206-12052-00,,"WASHER, WAVE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,525.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,97885-06030-00,,"SCREW, PAN HEAD",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,675.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,95380-06700-00,,NUT,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1048.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,90480-14M14-00,,GROMMET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,847.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,95895-06020-00,,"BOLT, FLANGE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,705.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6E3-24182-00-00,,"DAMPER, LOCATING 2",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,592.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6E0-42542-00-00,,PIPE,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1207.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,95895-06025-00,,"BOLT, FLANGE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,112.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y015MSHZ07.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,5MSHZ,1,1,Brands OEM,Yamaha,1,1
