Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
grouped,8MSHZ0,"6G1-26326-00-00, 90149-05M02-00, 90386-12M45-00, 6N0-G2711-00-4D, 95895-06020-00, 6E9-82575-02-00, 6N0-G2716-00-00, 6N0-G2719-80-00, 6N0-G2767-00-00, 6E0-42816-00-00, 97885-06030-00, 6G1-42727-00-00, 6G1-42748-00-00, 6G1-42725-00-00, 6G1-42726-00-00, 6G1-42724-00-00, 95380-06700-00, 689-8257Y-00-00, 90480-15M31-00, 90387-06M52-00, 90206-12052-00, 95380-05700-00, 6N0-G2815-00-4D, 682-82556-00-00",BOTTOM COWLING,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6N0-G2711-00-4D,,"COWLING, BOTTOM",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,34462.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6N0-G2815-00-4D,,"LEVER, CLAMP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,3675.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,90386-12M45-00,,"BUSH, SPEC'L NYLON",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1912.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6E0-42816-00-00,,"LEVER, CLAMP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1200.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,90206-12052-00,,"WASHER, WAVE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,525.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,97885-06030-00,,"SCREW, PAN HEAD",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,675.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,95380-06700-00,,NUT,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1048.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6N0-G2719-80-00,,"PANEL, FRONT LOWER",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,4920.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6N0-G2767-00-00,,BRACKET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,3952.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y018MSHZ11.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,8MSHZ,1,1,Brands OEM,Yamaha,1,1
