Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
grouped,T9_9EXRY-(6G8)0,"LIT-18626-03-30, LIT-18616-01-83",MODEL INFO - MANUALS,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y00T9_9ELHY00.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,LIT-18626-03-30,,OWNERS MANUAL,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,2550.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY00.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,LIT-18616-01-83,,SERVICE MANUAL,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,13500.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY00.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
grouped,T9_9EXRY-(6G8)1,"6G8-14197-01-00, 6G8-14342-24-00, 98580-06018-00, 6G8-14301-20-00, 90116-06M26-00, 6G8-14368-02-00, 6G8-14286-01-00, 647-14386-00-00, 6G8-14379-00-00, 6G8-14384-01-00, 92990-04100-00, 6G8-14383-00-00, 6G8-14293-03-00, 389-14137-00-00, 1HV-14147-00-00, 97890-05006-00, 646-14212-00-00, 92990-06100-00, 6G8-14275-01-00, 6G8-14381-02-00, 6G8-14323-20-00, 98580-04016-00, 6G8-14229-00-00, 6G8-14345-00-00, 6G8-14216-00-00, 6G8-14217-00-00, 6G8-14357-00-00, 5H0-14397-00-00, 6G8-14827-00-00, 654-14198-00-00, 98580-04010-00, 6G8-14349-00-00, 6A4-14344-30-00, 5Y1-14397-00-00, 6G8-14392-00-00, 664-14321-01-00, 647-14334-00-00, 6G8-1432A-00-00, 648-14343-43-00, 646-14198-01-00, 98813-03100-00, 6G8-14341-20-00, 6G8-1410A-01-00, 6G8-14385-00-00",CARBURETOR,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14301-20-00,,CARBURETOR ASSY 1,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14384-01-00,,"GASKET, FLOAT CHAMBER",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,982.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14381-02-00,,"BODY, FLOAT CHAMBER",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,22957.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,647-14386-00-00,,"PIN, FLOAT",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,255.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14342-24-00,,"JET, PILOT (#48)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,4005.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,654-14198-00-00,,GASKET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,457.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14345-00-00,,"PLUG, MAIN NOZZLE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,195.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,648-14343-43-00,,"JET, MAIN (#86)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1462.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14341-20-00,,"NOZZLE, MAIN",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,6750.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14216-00-00,,SCREW,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,825.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,647-14334-00-00,,SPRING,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,262.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14323-20-00,,"SCREW, AIR ADJUSTING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,7702.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14392-00-00,,"VALVE, NEEDLE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1597.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14385-00-00,,FLOAT,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,5325.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-14197-01-00,,PIPE,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1575.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,98580-06018-00,,"SCREW, PAN HEAD (N15)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,607.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,92990-06100-00,,"WASHER, SPRING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,450.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,1HV-14147-00-00,,O-RING,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1048.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,664-14321-01-00,,"SCREW, THROTTLE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,945.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,646-14212-00-00,,"SPRING, PILOT ADJUSTING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,98580-04016-00,,"SCREW, PAN HEAD",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1048.50,4,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,92990-04100-00,,"WASHER, SPRING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,120.00,4,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
simple,6G8-1410A-01-00,,STARTER SET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,16657.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y00T9_9ELHY05.gif,,,,,,,,0,Year Model, 2000,1,1,Model OEM,T9_9EXRY-(6G8),1,1,Brands OEM,Yamaha,1,1
