Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
grouped,F9.9ELRZ0,"90480-19031-00, 90480-09M35-00, 6G8-44391-00-00, 90206-08M13-00, 6G8-42719-00-94, 6G8-24379-00-00, 6G8-42614-12-00, 6G8-12476-00-00, 97013-06016-00, 97095-06016-00, 6E0-44191-11-00, 6G8-24378-01-00, 90480-17165-00, 90445-05ME6-00, 90445-10M78-00, 6G8-12485-00-00, 90119-06M56-00, 6G8-42748-00-00, 90387-06M72-00, 90201-06M31-00, 90119-06M55-00, 6G8-42727-00-00, 6G8-42724-00-00, 90445-09163-00, 90467-10M04-00, 92995-06600-00, 91490-16010-00, 90386-08M49-00, 6G8-42831-00-00, 6G8-42815-00-00, 6G8-42811-00-94, 6G8-42738-00-94, 6G8-42677-20-00, 6G8-42755-00-00, 6G8-42711-02-4D, 6G8-42629-02-00, 90387-06M15-00",BOTTOM COWLING,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,6G8-42711-02-4D,,"COWLING, BOTTOM 1",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,90480-09M35-00,,GROMMET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,615.00,8,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,90119-06M56-00,,"BOLT, WITH WASHER",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,555.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,90119-06M55-00,,"BOLT, WITH WASHER",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,645.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,90387-06M15-00,,COLLAR,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1207.50,4,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,90480-17165-00,,GROMMET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1342.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,6G8-42724-00-00,,GROMMET (OPT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1875.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,6G8-44391-00-00,,"NIPPLE, HOSE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
simple,90445-09163-00,,HOSE (L235),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,832.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F99MSHZ15.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F9.9ELRZ,1,1,Brands OEM,Yamaha,1,1
