Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
grouped,F4MSHZ0,"97095-06016-00, 90119-06M79-00, 90464-07M50-00, 90480-22M72-00, 68D-G2735-00-00, 6L5-42647-00-00, 68D-G2731-00-00, 67D-42662-00-00, 90464-07078-00, 68D-G2711-00-00, 68D-G2629-00-00, 90167-03M02-00, 92995-06600-00, 90161-05001-00, 90480-10004-00, 68D-G2628-00-00, 6L5-42823-00-00, 68D-G2712-00-00",BOTTOM COWLING,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,68D-G2711-00-00,,"COWLING, BOTTOM",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,8385.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,68D-G2628-00-00,,SEAL,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1732.50,3,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,68D-G2712-00-00,,"COWLING, BOTTOM",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,8175.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,68D-G2629-00-00,,SEAL,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1657.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,97095-06016-00,,BOLT,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,352.50,6,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,92995-06600-00,,WASHER,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,375.00,6,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6L5-42647-00-00,,"HOLDER, CLAMP BAND",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1455.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,6L5-42823-00-00,,"PLATE, STOP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1635.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
simple,90167-03M02-00,,"SCREW, TAPPING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,420.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01F4MLHZ12.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,F4MSHZ,1,1,Brands OEM,Yamaha,1,1
