Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
simple,68T-42725-10-00,,GROMMET (OPT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1957.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,69G-42726-00-00,,GROMMET (FLUSHING KIT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,735.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,65W-42717-00-00,,"RUBBER, SEAL 2",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,885.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42741-00-00,,APRON,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,6750.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,97880-06030-00,,"SCREW, PAN HEAD",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,675.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,92990-06100-00,,"WASHER, SPRING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,450.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,92990-06600-00,,"WASHER, PLATE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,375.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,95380-06600-00,,"NUT, HEXAGON",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,637.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42717-00-00,,"RUBBER, SEAL 2",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,412.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42771-00-00,,APRON,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,810.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90338-06M20-00,,PLUG,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,532.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,65W-84342-00-00,,"SEAT, EMBLEM",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,930.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90480-06M19-00,,GROMMET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,705.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,6E5-12481-00-00,,PIPE 1 (FLUSHING KIT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,2130.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90465-11M10-00,,TIE STRAP (FLUSHING KIT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,352.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90447-13M00-00,,"HOSE, WITH SPRING (FLUSHING KIT)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,870.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
